id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
83d99fed-cf3f-4290-97ef-d5a9ce3500e4,Consumtion_of_E_frequency.py,Calculating Entity Frequency,,2026-02-27 01:46:30,18.450958728790283,1.063003919872063e-05,7.178465470896041e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
33dfe51c-0882-44fe-bda4-b2de69fc8283,Consumtion_of_E_homogeneity.py,Calculating Linguistic Homogeneity,,2026-02-27 01:46:06,1022.0169532299042,0.0019121982490428,0.0001291307477578,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
70cb6abc-8926-4f70-8b20-55fd65468e27,Consumtion_of_E_risk_context.py,Calculating Contextual Risk,,2026-02-27 01:46:18,5816.490351438522,0.0060658379052646,0.0004096260337425,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
0,,,,,,,,,,,,
eForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0,,,,,,,,,
0,,,,,,,,,,,,
1772160122.4777792,Rules,Estrogen_receptor,8.938691965898847e-07,4.469345982949424e-05,0.0,,,,,,,
1772160122.489456,Transformer,Ki67,0.0001139842992139,0.005699214960696273,0.0,,,,,,,
1772160122.5017142,Rules,Estrogen_receptor,1.1207027652409844e-06,5.603513826204922e-05,0.0,,,,,,,
1772160122.5035734,Transformer,Ki67,0.000107327639979,0.005366381998954394,0.0,,,,,,,
1772160122.505596,Rules,Estrogen_receptor,1.0667633079432494e-06,5.333816539716247e-05,0.0,,,,,,,
1772160122.5076292,Transformer,Ki67,0.0001080748525039,0.005403742625198641,0.0,,,,,,,
fb9ad0f0-d32b-4c73-a8d4-dfb29566e9b7,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 03:56:01,12.759949684143066,9.36731524112815e-06,6.32574798233384e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
39494a0a-fa4c-41ff-9f41-6b724e71ab5a,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 12:39:33,5.356071472167969,1.0781390244715022e-06,7.280672832256054e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
a1601db0-29f1-47ef-b3cc-7192e1a16018,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 12:40:37,6.008311033248901,8.733748636527384e-07,5.897900454246942e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
c527c3ec-db75-4b7a-bbcf-92b0e95a9e4f,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 20:13:56,11.520434856414797,1.2221427082351148e-06,8.25312970871173e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
4c8ff885-14aa-4c7e-9301-8015cdd9b58a,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 20:15:24,10.203710794448853,7.802076974161507e-07,5.2687425806512665e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
fa601275-7069-48cc-9ef4-8cac5b4b6d7a,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 20:17:28,10.421696901321411,9.11848598573166e-07,6.15771358616459e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
1772222471.0651984,Rules,Estrogen_receptor,1.001106850606011e-06,5.0055342530300565e-05,0.0,,,,,,,
1772222471.0750875,Transformer,Ki67,0.0001088632245804,0.005443161229020686,0.0,,,,,,,
1772222471.0835807,Rules,Estrogen_receptor,8.083115043423723e-07,4.041557521711861e-05,0.0,,,,,,,
1772222471.0857482,Transformer,Ki67,9.055825257097936e-05,0.0045279126285489675,0.0,,,,,,,
1772222471.0867517,Rules,Estrogen_receptor,1.1862534212865962e-06,5.9312671064329814e-05,0.0,,,,,,,
1772222471.0887496,Transformer,Ki67,0.0001167441128571,0.00583720564285742,0.0,,,,,,,
1772222471.1063066,Rules,Gene,1.043334584303762e-06,5.21667292151881e-05,0.0,,,,,,,
1772222471.6460621,Rules,Gene,1.1041070627671272e-06,5.520535313835636e-05,0.0,,,,,,,
1772222471.6460621,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222471.6460621,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222471.6722186,Rules,HER2,1.1750569444070263e-06,5.8752847220351325e-05,0.0,,,,,,,
1772222471.674391,Rules,Ki67,1.0437286573445708e-06,5.2186432867228544e-05,0.0,,,,,,,
1772222471.6773837,Rules,ER,1.0180898096082747e-06,5.0904490480413736e-05,0.0,,,,,,,
1772222665.0075972,Rules,Gene,1.1642378486864076e-06,5.821189243432038e-05,0.0,,,,,,,
1772222665.1140797,Rules,Gene,1.1275829921588125e-06,5.6379149607940616e-05,0.0,,,,,,,
1772222665.118439,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222665.1206625,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222745.7370815,Rules,Gene,1.131615379073481e-06,5.6580768953674054e-05,0.0,,,,,,,
1772222745.8273246,Rules,Gene,8.355005088469372e-07,4.177502544234686e-05,0.0,,,,,,,
1772222745.8312917,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222745.8329682,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222780.1779811,Rules,Estrogen_receptor,1.0476069285100054e-06,5.238034642550027e-05,0.0,,,,,,,
1772222780.1858945,Transformer,Ki67,8.211969635203196e-05,0.004105984817601598,0.0,,,,,,,
1772222780.1971328,Rules,Estrogen_receptor,8.302224299393229e-07,4.151112149696614e-05,0.0,,,,,,,
1772222780.2011147,Transformer,Ki67,8.858694659312247e-05,0.004429347329656124,0.0,,,,,,,
1772222780.2038105,Rules,Estrogen_receptor,1.0394038672066526e-06,5.1970193360332634e-05,0.0,,,,,,,
1772222780.205949,Transformer,Ki67,0.0001081698551152,0.005408492755762168,0.0,,,,,,,
1772222780.2236133,Rules,Gene,1.177564171713404e-06,5.8878208585670194e-05,0.0,,,,,,,
1772222780.7130585,Rules,Gene,8.926845690301277e-07,4.463422845150638e-05,0.0,,,,,,,
1772222780.7170799,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222780.719511,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222780.7422714,Rules,HER2,9.105193659225184e-07,4.552596829612592e-05,0.0,,,,,,,
1772222780.7422714,Rules,Ki67,8.183955145408941e-07,4.0919775727044705e-05,0.0,,,,,,,
1772222780.7422714,Rules,ER,1.0851299902635805e-06,5.425649951317901e-05,0.0,,,,,,,
1772222864.4316947,Rules,Estrogen_receptor,1.1141158518594484e-06,5.570579259297242e-05,0.0,,,,,,,
1772222864.4425282,Transformer,Ki67,8.301496734855297e-05,0.004150748367427648,0.0,,,,,,,
1772222864.4529696,Rules,Estrogen_receptor,9.59675475332866e-07,4.79837737666433e-05,0.0,,,,,,,
1772222864.4549692,Transformer,Ki67,8.388877247646153e-05,0.0041944386238230765,0.0,,,,,,,
1772222864.457472,Rules,Estrogen_receptor,1.080804400736025e-06,5.404022003680125e-05,0.0,,,,,,,
1772222864.4594793,Transformer,Ki67,9.23918052032492e-05,0.004619590260162459,0.0,,,,,,,
1772222864.4834104,Rules,Gene,1.0313787327315818e-06,5.156893663657909e-05,0.0,,,,,,,
1772222864.4943635,ML_CRF,Tumor,0.0005,0.25,2.007722854614258,,,,,,,
1772222864.501211,Rules,Gene,9.272553992276826e-07,4.636276996138413e-05,0.0,,,,,,,
1772222864.5042074,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222864.5042074,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222864.5310104,Rules,HER2,9.167109918485608e-07,4.5835549592428036e-05,0.0,,,,,,,
1772222864.5329072,Rules,Ki67,9.373286436307874e-07,4.686643218153937e-05,0.0,,,,,,,
1772222864.533923,Transformer,Ki67,9.587005219486012e-05,0.004793502609743006,0.0,,,,,,,
1772222864.5359235,Rules,ER,1.1710768485418025e-06,5.8553842427090116e-05,0.0,,,,,,,
1772222864.5386827,Transformer,ER,0.0001076222261589,0.005381111307945253,0.0,,,,,,,
1772222888.6276531,Rules,HER2,8.3546509006409e-07,4.17732545032045e-05,0.0,,,,,,,
