Entity,He_Score_Percent,Total_Occurrences,Total_Words,Unique_Words
Ki67,98.06,173,409,44
HER2_status,97.49,106,261,35
HER2_IHC,97.44,124,382,52
Estrogen_receptor,97.35,225,422,59
Progesterone_receptor,96.96,197,384,59
HER2_FISH,83.7,29,110,37
Genetic_mutation,1.43,2,13,12
