Entity,Frequency,Count,Per_1k_tokens,Strategy_Hint
Estrogen_receptor,0.001084760798191101,225,1.084760798191101,FREQUENT -> ML POSSIBLE
Progesterone_receptor,0.0009497683433050974,197,0.9497683433050974,FREQUENT -> ML POSSIBLE
Ki67,0.0008340605248313799,173,0.8340605248313799,FREQUENT -> ML POSSIBLE
HER2_IHC,0.0005978237287808735,124,0.5978237287808734,FREQUENT -> ML POSSIBLE
HER2_status,0.0005110428649255854,106,0.5110428649255855,FREQUENT -> ML POSSIBLE
HER2_FISH,0.00013981361398907526,29,0.13981361398907527,FREQUENT -> ML POSSIBLE
Genetic_mutation,9.642318206143122e-06,2,0.009642318206143122,RARE -> REGLES/LLM
